Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-01,AGREGADO_SIN,0,P1D
2013-03-03,MUNA,0,P1D
2013-03-03,PLAYAS,0,P1D
2013-03-03,PORCE3,0,P1D
2013-03-03,MIEL1,0,P1D
2013-03-03,SANLOREN,0,P1D
2013-03-03,FLORIDA2,0,P1D
2013-03-03,PENOL,0,P1D
2013-03-03,MIRAFLOR,0,P1D
2013-03-03,PUNCHINA,0,P1D
2013-03-03,AGREGADO_SIN,0,P1D
2013-03-03,AGREGADO_BOGOTA,0,P1D
2013-03-03,PRADO,0,P1D
2013-03-03,ALTOANCH,0,P1D
2013-03-03,CALIMA1,0,P1D
2013-03-03,CHUZA,0,P1D
2013-03-03,GUAVIO,0,P1D
2013-03-03,URRA1,0,P1D
2013-03-03,SALVAJIN,0,P1D
2013-03-03,RIOGRAN2,0,P1D
2013-03-03,ESMERALD,0,P1D
2013-03-03,TRONERAS,0,P1D
2013-03-02,CALIMA1,0,P1D
2013-03-02,PENOL,0,P1D
